# SYNTHETIC PROJECTION — generated by the fleet digital twin (sim/) from a seeded synthetic world. Not observed production data.
scheduler,seed,night,n_planned,n_executed,n_accepted,expected_deliveries,realized_value,schedulable_value,planned_minutes,wasted_minutes,distinct_targets,transit_events,transit_covered,transit_mean_coverage,utc_hours_covered,mean_clear_frac
chorus,42,0,268,169,143,100.78,66.2511,280.291,4020.8,1548.2,71,4,3,0.695,24,0.609
chorus,42,1,245,183,157,118.06,56.6943,246.6534,3543.8,1404.0,67,4,3,0.641,23,0.688
chorus,42,2,249,160,139,123.51,58.9304,241.8717,6536.0,3427.0,69,7,6,0.8,22,0.652
chorus,42,3,244,167,142,125.04,54.0777,220.8155,3812.4,1625.4,68,5,3,0.6,24,0.541
chorus,42,4,239,133,113,125.66,36.7242,207.6998,3830.2,2171.8,68,5,2,0.44,23,0.64
chorus,42,5,237,159,145,117.9,52.0142,240.9048,3826.0,2317.0,64,7,2,0.204,24,0.594
chorus,42,6,234,120,98,123.24,33.2876,207.8088,2899.0,1409.0,68,5,2,0.389,23,0.582
chorus,42,7,232,124,106,124.18,36.3758,214.0002,5023.2,2963.8,68,6,3,0.482,23,0.632
chorus,42,8,228,140,119,118.62,58.5966,219.0256,4356.4,2198.8,68,8,4,0.475,24,0.501
chorus,42,9,217,149,129,121.01,34.6964,177.3903,1400.2,597.6,66,4,1,0.136,24,0.576
chorus,42,10,222,165,139,126.45,66.1301,224.7515,4434.4,1775.8,65,6,4,0.548,24,0.662
chorus,42,11,217,128,101,116.68,42.1454,195.7016,2822.0,1943.0,68,6,2,0.321,23,0.545
chorus,42,12,227,149,133,123.28,61.0808,203.7111,5451.4,2094.6,72,8,5,0.528,24,0.649
chorus,42,13,215,130,115,111.16,43.174,173.9656,4215.0,1813.4,71,5,3,0.438,24,0.407
chorus,43,0,261,142,132,86.35,35.5831,227.878,2186.2,1301.4,74,4,1,0.233,23,0.398
chorus,43,1,254,170,148,117.04,34.2762,192.3536,1993.6,790.8,75,4,1,0.188,23,0.556
chorus,43,2,254,175,148,133.23,39.0001,185.9448,2592.8,1067.6,76,5,2,0.308,24,0.6
chorus,43,3,252,181,160,129.53,43.2637,186.2826,3010.4,912.6,73,5,2,0.4,24,0.589
chorus,43,4,242,108,97,119.23,30.2253,199.7959,3841.2,2642.2,72,8,2,0.195,24,0.396
chorus,43,5,230,131,112,119.84,28.3951,169.6784,1150.0,590.0,69,5,0,0.0,24,0.409
chorus,43,6,241,174,147,128.62,29.4157,162.4893,2251.2,991.6,73,4,1,0.167,24,0.488
chorus,43,7,229,163,146,127.55,35.2032,164.4174,3555.8,947.4,72,5,3,0.6,24,0.585
chorus,43,8,229,157,144,123.37,24.7337,168.0201,3256.8,2294.6,73,6,1,0.098,24,0.464
chorus,43,9,208,143,130,121.39,21.9892,144.4127,1903.2,1052.4,73,4,0,0.071,24,0.6
chorus,43,10,211,127,105,117.14,30.038,166.5725,1930.2,1186.4,72,5,1,0.2,23,0.473
chorus,43,11,217,154,137,121.57,54.6275,188.1508,3255.8,1108.6,73,4,2,0.417,22,0.544
chorus,43,12,220,142,125,128.05,53.7638,203.8392,2888.8,706.4,74,5,2,0.4,24,0.673
chorus,43,13,199,129,116,108.95,40.607,202.5313,3132.4,1251.4,72,5,2,0.378,23,0.468
chorus,44,0,277,135,112,92.0,49.9587,267.8418,4351.6,2736.0,75,6,4,0.625,22,0.476
chorus,44,1,258,169,154,109.63,51.4807,230.5434,3748.2,1478.4,69,6,3,0.474,24,0.57
chorus,44,2,259,136,122,115.97,46.1812,202.2362,2243.8,1056.6,67,5,2,0.4,23,0.433
chorus,44,3,254,158,136,128.52,36.2617,186.06,3656.0,2071.4,71,5,2,0.442,24,0.571
chorus,44,4,249,158,139,123.69,34.7106,179.6785,3731.4,2325.6,68,6,2,0.385,24,0.474
chorus,44,5,249,153,138,117.63,38.4918,169.0799,3910.2,1215.0,69,6,3,0.449,24,0.424
chorus,44,6,242,149,138,132.03,28.4379,157.9663,2821.8,751.4,66,4,2,0.461,24,0.479
chorus,44,7,225,127,108,126.14,15.8045,145.4051,1132.0,592.0,66,3,0,0.0,23,0.54
chorus,44,8,214,127,111,112.2,23.1844,146.2457,1714.2,959.4,68,2,1,0.462,23,0.519
chorus,44,9,212,127,112,106.27,26.0975,172.352,1824.8,500.0,65,6,2,0.323,24,0.456
chorus,44,10,218,141,120,114.94,27.6805,153.5806,2351.6,1074.4,72,4,2,0.438,23,0.529
chorus,44,11,218,146,125,117.91,28.2784,183.1708,5439.6,2368.4,69,10,3,0.363,23,0.549
chorus,44,12,198,123,103,109.09,17.0032,145.4482,2855.8,1477.4,64,5,2,0.37,23,0.44
chorus,44,13,194,78,64,99.33,16.5459,163.1196,1937.2,1053.8,62,4,0,0.17,20,0.36
greedy_nearest,42,0,268,143,120,85.65,36.8535,280.291,2455.0,1616.4,72,4,1,0.221,19,0.609
greedy_nearest,42,1,247,138,117,90.34,33.8165,248.6277,1625.8,845.4,68,4,1,0.178,24,0.688
greedy_nearest,42,2,256,126,109,106.55,32.9372,248.7468,2046.2,1262.6,70,7,1,0.143,19,0.652
greedy_nearest,42,3,252,109,93,100.01,21.1311,232.3242,1740.2,1033.6,68,5,0,0.071,21,0.541
greedy_nearest,42,4,263,128,108,111.22,36.6607,226.8465,1990.0,781.0,70,5,1,0.293,21,0.64
greedy_nearest,42,5,255,122,103,102.68,25.2317,233.5666,1770.6,1252.6,69,7,0,0.0,22,0.594
greedy_nearest,42,6,258,111,89,113.32,26.8354,229.1549,1533.4,848.0,70,5,1,0.2,23,0.582
greedy_nearest,42,7,255,112,94,111.25,23.1944,236.0594,2442.2,1480.4,69,6,2,0.316,20,0.632
greedy_nearest,42,8,253,122,107,104.5,29.9101,245.533,1869.8,971.6,69,8,1,0.125,22,0.501
greedy_nearest,42,9,252,123,108,102.16,22.4955,205.1069,1269.0,720.0,68,4,0,0.0,22,0.576
greedy_nearest,42,10,257,134,120,115.0,31.688,253.9132,1903.4,1303.4,69,6,0,0.0,23,0.662
greedy_nearest,42,11,251,85,73,98.97,25.5797,226.5922,2045.8,1499.2,70,6,1,0.154,22,0.545
greedy_nearest,42,12,270,132,121,119.67,30.3395,239.1201,2887.0,1577.6,72,8,3,0.302,23,0.649
greedy_nearest,42,13,260,74,64,93.47,12.8577,210.5284,2447.8,1898.4,72,5,0,0.088,24,0.407
greedy_nearest,43,0,269,81,74,65.33,17.5849,227.878,1794.6,1202.8,74,4,0,0.083,21,0.398
greedy_nearest,43,1,272,139,118,88.63,24.2037,202.0352,1360.0,770.0,76,4,0,0.0,24,0.556
greedy_nearest,43,2,272,160,138,111.5,33.062,200.5491,1560.8,670.0,74,5,1,0.186,23,0.6
greedy_nearest,43,3,272,158,137,114.18,29.7677,202.8043,1824.6,941.8,75,5,1,0.2,24,0.589
greedy_nearest,43,4,269,79,71,93.56,14.6231,217.3379,1869.6,1253.8,74,8,0,0.035,24,0.396
greedy_nearest,43,5,261,85,75,90.08,22.2055,188.837,1308.0,933.0,72,5,0,0.0,21,0.409
greedy_nearest,43,6,266,150,125,107.2,24.7471,184.7406,1349.0,711.0,73,4,0,0.0,24,0.488
greedy_nearest,43,7,260,147,124,112.5,22.4599,183.1673,1776.6,949.8,71,5,0,0.086,24,0.585
greedy_nearest,43,8,266,113,103,96.54,22.4018,188.6175,1791.6,1273.6,72,6,0,0.0,23,0.464
greedy_nearest,43,9,267,153,138,120.56,21.4737,168.0339,1604.8,908.8,76,4,0,0.0,24,0.6
greedy_nearest,43,10,270,103,82,96.24,20.2657,181.0013,1790.6,1161.8,74,5,1,0.2,22,0.473
greedy_nearest,43,11,272,149,136,121.2,36.6314,204.9395,1589.6,680.0,75,4,1,0.25,24,0.544
greedy_nearest,43,12,275,165,149,132.24,31.0989,208.0449,2245.4,1157.6,78,5,1,0.2,24,0.673
greedy_nearest,43,13,279,117,102,106.05,33.0743,217.4896,1988.6,1217.8,76,5,1,0.2,23,0.468
greedy_nearest,44,0,281,118,95,73.38,34.8289,267.8418,2012.8,1346.0,73,6,1,0.167,20,0.476
greedy_nearest,44,1,271,119,102,86.39,27.5389,233.9384,1778.2,1036.8,69,6,1,0.167,23,0.57
greedy_nearest,44,2,273,104,92,95.84,29.5141,215.4084,1550.8,905.0,69,5,1,0.2,22,0.433
greedy_nearest,44,3,272,117,101,100.99,24.8962,209.2938,1849.2,1149.4,69,5,1,0.2,24,0.571
greedy_nearest,44,4,262,99,86,78.87,20.3713,204.1193,2071.4,1462.2,69,6,1,0.167,21,0.474
greedy_nearest,44,5,275,106,93,92.59,21.8818,198.9923,2536.8,1872.2,71,6,1,0.167,22,0.424
greedy_nearest,44,6,262,111,100,97.11,21.4193,187.0641,1453.8,822.0,68,4,1,0.139,21,0.479
